seed,sigma,correlation,estimator,corr_theta,spear_theta,corr_beta,spear_beta,corr_X_missing,rmse_theta,rmse_beta,rmse_X
17,0.5,none,Imp,0.940382,0.931478,0.989021,0.982609,0.89309,0.838658,0.609193,0.814852
18,0.5,none,EM,0.953666,0.985272,0.99574,0.987826,0.954846,0.841199,0.415279,0.604231
18,0.5,none,Day,0.953666,0.985814,0.666541,0.692977,0.81475,0.841199,1.346199,1.219482
18,0.5,none,Imp,0.905857,0.905937,0.990594,0.971727,0.907202,0.97717,0.494951,0.777709
19,0.5,none,EM,0.985441,0.989996,0.992845,0.993043,0.954809,0.494726,0.420107,0.578346
19,0.5,none,Day,0.985441,0.990079,0.322704,0.317,0.704873,0.494726,1.661126,1.451349
19,0.5,none,Imp,0.975613,0.978126,0.991962,0.989561,0.945898,0.528655,0.416726,0.613089
20,0.5,none,EM,0.969304,0.99422,0.993965,0.992174,0.95047,0.813033,0.527392,0.628053
20,0.5,none,Day,0.969304,0.99422,0.502383,0.449698,0.768726,0.813034,1.505928,1.259259
20,0.5,none,Imp,0.963021,0.972581,0.97661,0.954971,0.948504,0.756398,0.499857,0.684064
21,0.5,none,EM,0.985866,0.993594,0.995981,1.0,0.958989,0.561275,0.475807,0.585149
21,0.5,none,Day,0.985866,0.993442,0.436711,0.398093,0.72337,0.561275,1.700734,1.444456
21,0.5,none,Imp,0.97142,0.971441,0.994845,0.997391,0.945104,0.610918,0.484037,0.642396
22,0.5,none,EM,0.985623,0.996666,0.991602,0.987826,0.963234,0.698803,0.526573,0.584015
22,0.5,none,Day,0.985623,0.996652,0.282057,0.228535,0.839436,0.698803,1.414884,1.136238
22,0.5,none,Imp,0.982016,0.989742,0.986673,0.982609,0.960924,0.707115,0.519305,0.598411
23,0.5,none,EM,0.980736,0.99711,0.993328,0.992174,0.956661,0.661858,0.447426,0.597359
23,0.5,none,Day,0.980736,0.99711,0.194514,0.095837,0.746432,0.661858,1.587553,1.359159
23,0.5,none,Imp,0.980142,0.994913,0.991095,0.984341,0.955744,0.655393,0.444014,0.605366
24,0.5,none,EM,0.98687,0.990386,0.99605,0.996304,0.954463,0.712755,0.59272,0.64913
24,0.5,none,Day,0.98687,0.990316,0.596708,0.538163,0.778001,0.712754,1.60709,1.338236
24,0.5,none,Imp,0.945507,0.954144,0.98842,0.97456,0.915639,0.851783,0.612771,0.78186
25,0.5,none,EM,0.989265,0.989802,0.993979,1.0,0.963439,0.594498,0.507777,0.618351
25,0.5,none,Day,0.989265,0.989802,0.573778,0.545535,0.791654,0.594498,1.596231,1.369502
25,0.5,none,Imp,0.928888,0.904032,0.98303,0.986957,0.900869,0.832349,0.635941,0.808693
26,0.5,none,EM,0.975005,0.993164,0.991541,0.994783,0.948037,1.011327,0.700114,0.718493
26,0.5,none,Day,0.975005,0.993289,0.482464,0.398093,0.762984,1.011327,1.806599,1.440041
26,0.5,none,Imp,0.960115,0.97576,0.984545,0.990435,0.93019,1.036114,0.710939,0.786532
27,0.5,none,EM,0.990694,0.993359,0.987316,0.993913,0.950723,0.379234,0.395138,0.577943
27,0.5,none,Day,0.990694,0.993317,0.455221,0.464442,0.789086,0.379234,1.374421,1.226652
27,0.5,none,Imp,0.972276,0.974749,0.965757,0.976299,0.924116,0.490993,0.496714,0.675835
28,0.5,none,EM,0.977752,0.991719,0.994545,0.994783,0.952204,0.787841,0.590141,0.658283
28,0.5,none,Day,0.977752,0.991552,0.553118,0.545535,0.729399,0.787841,1.815959,1.510533
28,0.5,none,Imp,0.937986,0.944646,0.99431,0.991085,0.926187,0.871583,0.589365,0.766985
29,0.5,none,EM,0.980117,0.995318,0.990257,0.993913,0.958178,0.701282,0.438719,0.600752
29,0.5,none,Day,0.980117,0.995318,0.260392,0.228535,0.797969,0.701282,1.440692,1.243715
29,0.5,none,Imp,0.975342,0.990368,0.982245,0.987816,0.945895,0.736677,0.487368,0.642838
30,0.5,none,EM,0.96155,0.991538,0.983313,0.994783,0.941276,0.695527,0.577386,0.620437
30,0.5,none,Day,0.96155,0.991538,0.594359,0.626628,0.771269,0.695527,1.443383,1.213381
30,0.5,none,Imp,0.923707,0.943444,0.985853,0.996522,0.912614,0.787718,0.536641,0.723949
31,0.5,none,EM,0.985501,0.989538,0.993017,0.992174,0.947021,0.43456,0.47614,0.610638
31,0.5,none,Day,0.985501,0.989635,0.612764,0.575024,0.748811,0.43456,1.466735,1.306345
31,0.5,none,Imp,0.940332,0.935726,0.990145,0.993913,0.912683,0.599343,0.437737,0.739346
32,0.5,none,EM,0.990115,0.993526,0.995634,0.991955,0.956579,0.691371,0.583322,0.639379
32,0.5,none,Day,0.990115,0.993526,0.451319,0.405465,0.673039,0.691371,1.904178,1.590683
32,0.5,none,Imp,0.960088,0.960102,0.996718,0.993908,0.938334,0.774613,0.568956,0.714337
33,0.5,none,EM,0.983462,0.993303,0.99345,0.996304,0.954407,0.609151,0.569409,0.629899
33,0.5,none,Day,0.983462,0.993386,0.756109,0.77407,0.815046,0.609152,1.412291,1.215834
33,0.5,none,Imp,0.912559,0.896177,0.990704,0.995434,0.920028,0.773501,0.552215,0.813355
34,0.5,none,EM,0.982736,0.995026,0.992558,0.997391,0.955615,0.493137,0.409737,0.588188
34,0.5,none,Day,0.982736,0.995026,0.516606,0.501303,0.701065,0.493137,1.558701,1.404173
34,0.5,none,Imp,0.939185,0.944412,0.989902,0.994783,0.935983,0.611016,0.395323,0.694903
35,0.5,none,EM,0.991649,0.997319,0.994666,0.996522,0.956193,0.566275,0.578679,0.620649
35,0.5,none,Day,0.991649,0.997319,0.470054,0.331744,0.760694,0.566276,1.600504,1.32587
35,0.5,none,Imp,0.978955,0.984061,0.995155,0.988696,0.947301,0.606574,0.536416,0.666749
36,0.5,none,EM,0.980563,0.991511,0.995304,0.997391,0.954484,0.506154,0.408209,0.594241
36,0.5,none,Day,0.980563,0.991511,0.388287,0.353861,0.677739,0.506154,1.620678,1.438737
36,0.5,none,Imp,0.960683,0.970259,0.994509,0.997391,0.933547,0.572611,0.416455,0.657535
37,0.5,none,EM,0.987136,0.993289,0.995384,0.992825,0.959442,0.582685,0.481521,0.594905
37,0.5,none,Day,0.987136,0.993164,0.47518,0.398093,0.777702,0.582685,1.550949,1.318352
37,0.5,none,Imp,0.972061,0.972845,0.993612,0.993041,0.942438,0.646719,0.501219,0.667803
38,0.5,none,EM,0.988406,0.986537,0.996729,0.992174,0.958169,0.55427,0.471486,0.607315
38,0.5,none,Day,0.988406,0.986259,0.657175,0.611884,0.814219,0.554269,1.41538,1.248857
38,0.5,none,Imp,0.93989,0.934008,0.979141,0.983471,0.906559,0.755817,0.577886,0.799736
39,0.5,none,EM,0.98522,0.994442,0.991427,0.996522,0.957265,0.521843,0.470408,0.588849
39,0.5,none,Day,0.98522,0.994484,0.402173,0.361233,0.765071,0.521843,1.541066,1.295893
39,0.5,none,Imp,0.969871,0.978763,0.979691,0.986957,0.936993,0.586935,0.526321,0.661823
40,0.5,none,EM,0.987357,0.992511,0.994475,0.989565,0.954188,0.615148,0.579474,0.62664
40,0.5,none,Day,0.987357,0.992511,0.467837,0.486558,0.635975,0.615148,1.891694,1.591088
40,0.5,none,Imp,0.948437,0.95175,0.99403,0.986957,0.935334,0.721927,0.556083,0.72096
41,0.5,none,EM,0.988232,0.989566,0.992342,0.998261,0.954444,0.573153,0.543326,0.633735
41,0.5,none,Day,0.988232,0.989496,0.402623,0.383349,0.66933,0.573153,1.813384,1.537027
41,0.5,none,Imp,0.965228,0.962265,0.992436,0.998261,0.947756,0.625327,0.51744,0.676
42,0.5,none,EM,0.98302,0.990719,0.996069,0.996522,0.957902,0.435617,0.30613,0.575489
42,0.5,none,Day,0.98302,0.990719,0.532132,0.493931,0.720088,0.435617,1.520151,1.42119
42,0.5,none,Imp,0.941877,0.934265,0.995146,0.994345,0.938233,0.563287,0.320576,0.686483
43,0.5,none,EM,0.986581,0.992525,0.993776,0.998261,0.954634,0.441274,0.363572,0.563666
43,0.5,none,Day,0.986581,0.992525,0.348838,0.317,0.759571,0.441273,1.441866,1.28468
43,0.5,none,Imp,0.97523,0.974541,0.991301,0.993259,0.940579,0.507392,0.389343,0.609425
44,0.5,none,EM,0.976121,0.99069,0.983793,0.991085,0.947633,0.493166,0.541514,0.603153
44,0.5,none,Day,0.976121,0.99069,0.643778,0.641373,0.75867,0.493166,1.429742,1.244021
44,0.5,none,Imp,0.925779,0.93436,0.98499,0.978252,0.916954,0.637081,0.492531,0.735924
45,0.5,none,EM,0.993682,0.995721,0.99705,0.996522,0.959694,0.345613,0.268095,0.542423
